,User Name,Organization,Organization Type,Organization Country,Is Active,CPU Compute Allocation,CPU Node Hours Charged,GPU Compute Allocation,GPU Node Hours Charged,PI Name,Project Description,Department,Organization City
0,u232,Auburn University,UNIV,United States of America,True,23399.0,2426.4169444444447,150.0,0.0,Michael Pindzola,Computational Atomic and Molecular Physics for Fusion Energy Sciences,Department of Physics,Auburn
1,u344,CompX - Computational Modeling and Software Development,SMBUS,United States of America,True,5000.0,0.0,7500.0,0.0,Jin Myung Park,AToM-2 SciDAC - Advanced Tokamak Modeling Environment,Fusion Theory,Del Mar
2,u431,Princeton Plasma Physics Laboratory (PPPL),DOELAB,United States of America,True,81000.0,13781.63361111111,10075.0,1.1616666666666666,Stephen Jardin,3D Extended MHD simulation of fusion plasmas,Theory and Computation,Princeton
3,u460,Princeton Plasma Physics Laboratory (PPPL),DOELAB,United States of America,True,0.0,0.0,100.0,0.0,Richard Gerber,NERSC overhead account for users with no active repo,,Princeton
4,u617,Pacific Northwest National Laboratory (PNNL),DOELAB,United States of America,True,15170.3,0.0,29525.0,0.0,Sotiris Xantheas,"Guest-host interactions in the gas phase, in aqueous systems and hydrate lattices","Advanced Computing, Mathematics and Data",Richland
5,u650,CompX - Computational Modeling and Software Development,SMBUS,United States of America,True,42800.0,0.0,11925.0,0.0,Paul Bonoli,Center for Integrated Simulation of Fusion Relevant RF Actuators: SciDAC Project,Fusion,Del Mar
6,u1103,University of Alaska Fairbanks,UNIV,United States of America,True,2062.5,0.0,15075.0,0.0,Jean-Noel Leboeuf,Gyrokinetic Studies of Non-Diffusive Transport,Department of Physics,Fairbanks
7,u1165,University of Maryland,UNIV,United States of America,True,1000.0,0.0,2500.0,0.0,William Dorland,"Turbulence, Transport and Magnetic Reconnection in High Temperature Plasma",,College Park
8,u70270,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,85.45555555555555,0.0,7.5,0.0,C. William McCurdy,Electron and Photon Collisions with Atoms and Molecules,Chemistry,Berkeley
9,u1446,Oak Ridge National Laboratory,DOELAB,United States of America,True,2000.0,0.0,2500.0,0.0,Jin Myung Park,AToM-2 SciDAC - Advanced Tokamak Modeling Environment,Fusion Energy Division,Oak Ridge
10,u1565,Massachusetts Institute of Technology,UNIV,United States of America,True,69000.0,0.0,29350.0,0.0,Jin Myung Park,AToM-2 SciDAC - Advanced Tokamak Modeling Environment,Massachusetts Institute of Technology ,Cambridge
11,ukaraoz,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,28695.7265,37.905,10300.0,0.0,Ulas Karaoz,"Scaling microbial traits from genomes to watersheds through combined airborne hyperspectral imaging, soil biogeochemistry, and metagenome assembled genomes",Ecology/CESD/EESA,Berkeley
12,u1754,University of Wisconsin - Madison,UNIV,United States of America,True,60.0,0.0,75.0,0.0,Carl Sovinec,Fluid and Hybrid Modeling of Electromagnetic Activity in MFE Plasmas,,Madison
13,u2115,Oak Ridge National Laboratory,DOELAB,United States of America,True,44000.0,0.2825,14350.0,0.0,Paul Bonoli,Center for Integrated Simulation of Fusion Relevant RF Actuators: SciDAC Project,Fusion Energy Division,Oak Ridge
14,u2230,University of Wisconsin - Madison,UNIV,United States of America,True,7875.0,2.381388888888889,168.94241666666665,0.0,Carl Sovinec,Fluid and Hybrid Modeling of Electromagnetic Activity in MFE Plasmas,Engineering Physics,Madison
15,u2351,Oak Ridge National Laboratory,DOELAB,United States of America,True,21000.0,0.0,11850.0,0.0,Paul Bonoli,Center for Integrated Simulation of Fusion Relevant RF Actuators: SciDAC Project,,Oak Ridge
16,xnwang,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,24300.0,121.13777777777776,135.0,0.0,Xin-Nian Wang,Simulations of event-by-event jet quenching in high-energy heavy-ion collisions,Nuclear Science Division,Berkeley
17,ydc,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,10258.534291666669,0.0,5935.0,0.0,Alan Poon,Simulations and Analysis for a Large Scale Germanium Neutrinoless Double Beta Decay Experiment (LEGEND),Nuclear Science Division,Berkeley
18,tull,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,11030.0,0.0,210075.0,0.0,Alex Hexemer,Advanced Light Source,CRD,Berkeley
19,u3054,Lawrence Livermore National Laboratory,DOELAB,United States of America,True,0.0,0.0,0.0,0.0,Maxim Umansky,LLNL MFE Supercomputing,"S & T, Physics, Fusion Energy Program",Livermore
20,galtieri,Lawrence Berkeley National Laboratory,DOELAB,United States of America,True,140.0,0.0,20.003875,0.0,Zachary Marshall,Simulation and analysis  of ATLAS Physics,Physics,Berkeley
